"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::213:13:13:13","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"2","0.153000","fe80::20b:b:b:b","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"3","0.190000","fe80::20c:c:c:c","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"4","0.242000","fe80::211:11:11:11","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"5","0.428000","fe80::205:5:5:5","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"6","0.445000","fe80::202:2:2:2","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"7","0.526000","fe80::201:1:1:1","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"8","0.673000","fe80::209:9:9:9","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"9","0.857000","fe80::206:6:6:6","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"10","1.039000","fe80::20d:d:d:d","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"11","1.140000","fe80::214:14:14:14","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"12","2.144000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"13","2.182000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"14","3.292000","fe80::215:15:15:15","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"15","3.744000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"16","3.782000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"17","4.296000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"18","4.298856","","","IEEE 802.15.4","5","Ack"
"19","4.723000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"20","4.725856","","","IEEE 802.15.4","5","Ack"
"21","4.795000","fe80::218:18:18:18","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"22","4.801040","fe80::210:10:10:10","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"23","4.803896","","","IEEE 802.15.4","5","Ack"
"24","4.835000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"25","4.837856","","","IEEE 802.15.4","5","Ack"
"26","4.993000","fe80::20d:d:d:d","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"27","5.016000","fe80::213:13:13:13","fe80::218:18:18:18","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"28","5.018856","","","IEEE 802.15.4","5","Ack"
"29","5.107000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"30","5.111200","","","IEEE 802.15.4","5","Ack"
"31","5.311000","fe80::213:13:13:13","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"32","5.327000","fe80::218:18:18:18","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"33","5.329856","","","IEEE 802.15.4","5","Ack"
"34","5.383000","fe80::213:13:13:13","fe80::20d:d:d:d","ICMPv6","102","RPL Control (DODAG Information Object)"
"35","5.387200","","","IEEE 802.15.4","5","Ack"
"36","5.694000","fe80::210:10:10:10","fe80::209:9:9:9","ICMPv6","102","RPL Control (DODAG Information Object)"
"37","5.698200","","","IEEE 802.15.4","5","Ack"
"38","5.760000","fe80::20b:b:b:b","fe80::20d:d:d:d","ICMPv6","102","RPL Control (DODAG Information Object)"
"39","5.764200","","","IEEE 802.15.4","5","Ack"
"40","5.779000","fe80::210:10:10:10","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"41","5.803000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"42","5.805856","","","IEEE 802.15.4","5","Ack"
"43","5.836000","fe80::202:2:2:2","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"44","5.856000","fe80::210:10:10:10","fe80::218:18:18:18","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"45","5.858856","","","IEEE 802.15.4","5","Ack"
"46","5.860000","fe80::214:14:14:14","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"47","5.862856","","","IEEE 802.15.4","5","Ack"
"48","5.872000","fe80::20c:c:c:c","fe80::218:18:18:18","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"49","5.874856","","","IEEE 802.15.4","5","Ack"
"50","5.880000","fe80::213:13:13:13","fe80::20d:d:d:d","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"51","5.882856","","","IEEE 802.15.4","5","Ack"
"52","5.892000","fe80::218:18:18:18","fe80::213:13:13:13","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"53","5.894856","","","IEEE 802.15.4","5","Ack"
"54","5.959000","fe80::210:10:10:10","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"55","5.961856","","","IEEE 802.15.4","5","Ack"
"56","5.964000","fe80::20f:f:f:f","fe80::210:10:10:10","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"57","5.966856","","","IEEE 802.15.4","5","Ack"
"58","5.980000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"59","5.982856","","","IEEE 802.15.4","5","Ack"
"60","6.135000","fe80::210:10:10:10","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"61","6.224000","fe80::218:18:18:18","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"62","6.226856","","","IEEE 802.15.4","5","Ack"
"63","6.239000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"64","6.241856","","","IEEE 802.15.4","5","Ack"
"65","6.388000","fe80::202:2:2:2","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"66","6.423000","fe80::214:14:14:14","fe80::210:10:10:10","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"67","6.425856","","","IEEE 802.15.4","5","Ack"
"68","6.450000","fe80::202:2:2:2","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"69","6.452856","","","IEEE 802.15.4","5","Ack"
